Country,Clicks,Impressions,CTR,Position
Morocco,13,1121,1.16%,16.64
France,0,21,0%,18.71
United States,0,14,0%,5.79
Netherlands,0,10,0%,8
United Kingdom,0,9,0%,9.44
Mauritania,0,6,0%,5.5
Algeria,0,5,0%,16.2
Canada,0,4,0%,21.25
Germany,0,3,0%,7
Belgium,0,3,0%,8
Israel,0,3,0%,10.67
Burkina Faso,0,3,0%,11
Congo - Kinshasa,0,2,0%,9
Gabon,0,2,0%,10.5
Togo,0,1,0%,4
Lebanon,0,1,0%,6
Madagascar,0,1,0%,6
Mali,0,1,0%,6
Pakistan,0,1,0%,6
Chad,0,1,0%,6
Tunisia,0,1,0%,6
Italy,0,1,0%,7
Portugal,0,1,0%,7
Guinea,0,1,0%,8
Benin,0,1,0%,9
Switzerland,0,1,0%,9
Peru,0,1,0%,9
Spain,0,1,0%,10
Norway,0,1,0%,10
Senegal,0,1,0%,11
Indonesia,0,1,0%,53
India,0,1,0%,78
