Country,Clicks,Impressions,CTR,Position
Morocco,7,876,0.8%,17.95
France,0,17,0%,21.59
United States,0,11,0%,5.45
Netherlands,0,10,0%,8
United Kingdom,0,7,0%,7.57
Mauritania,0,5,0%,5
Algeria,0,5,0%,16.2
Canada,0,4,0%,21.25
Germany,0,3,0%,7
Belgium,0,3,0%,8
Burkina Faso,0,3,0%,11
Congo - Kinshasa,0,2,0%,9
Gabon,0,2,0%,10.5
Togo,0,1,0%,4
Lebanon,0,1,0%,6
Madagascar,0,1,0%,6
Mali,0,1,0%,6
Pakistan,0,1,0%,6
Chad,0,1,0%,6
Italy,0,1,0%,7
Portugal,0,1,0%,7
Guinea,0,1,0%,8
Benin,0,1,0%,9
Switzerland,0,1,0%,9
Peru,0,1,0%,9
Spain,0,1,0%,10
Norway,0,1,0%,10
Senegal,0,1,0%,11
Indonesia,0,1,0%,53
India,0,1,0%,78
